species,oplossing,batch,n,groei,ontkiemt,blaadjes,bladkleur
alfalfa,0.09,2,166,15,1,3,groen
alfalfa,0.09,2,167,16,1,2,groen
alfalfa,0.09,2,168,14,1,2,groen
alfalfa,0.09,2,169,17,1,2,groen
alfalfa,0.09,2,170,15,1,2,groen
alfalfa,0.09,2,171,18,1,2,groen
alfalfa,0.09,2,172,11,1,2,donker_groen
alfalfa,0.09,2,173,6,1,1,donker_groen
alfalfa,0.09,2,174,9,1,1,donker_groen
alfalfa,0.09,2,175,6,1,2,groen
alfalfa,0.09,2,176,11,1,1,donker_groen
alfalfa,0.09,2,177,15,1,2,groen
alfalfa,0.09,2,178,2,1,1,donker_groen
alfalfa,0.09,2,179,10,1,1,donker_groen
alfalfa,0.09,2,180,11,1,2,groen
alfalfa,0.09,2,181,1,1,1,donker_groen
alfalfa,0.09,2,182,11,1,0,geen
alfalfa,0.09,2,183,11,1,2,groen
alfalfa,0.09,2,184,8,1,2,groen
alfalfa,0.09,2,185,13,1,1,donker_groen
alfalfa,0.09,2,186,19,1,2,groen
alfalfa,0.09,2,187,12,1,1,donker_groen
alfalfa,0.09,2,188,8,1,1,groen
alfalfa,0.09,2,189,10,1,1,donker_groen
alfalfa,0.09,2,190,8,1,2,groen
alfalfa,0.09,2,191,12,1,0,geen
alfalfa,0.09,2,192,9,1,0,geen
alfalfa,0.09,2,193,4,1,0,geen
alfalfa,0.09,2,194,5,1,0,geen
alfalfa,0.09,2,195,9,1,1,donker_groen
alfalfa,0.09,2,196,2,1,1,donker_groen
alfalfa,0.09,2,197,18,1,2,groen
alfalfa,0.09,2,198,8,1,1,donker_groen
alfalfa,0.09,2,199,5,1,1,donker_groen
alfalfa,0.09,2,200,11,1,1,donker_groen
